annee,semaine,mois,date_debut,date_fin,marche,race,sexe,age_mois,classe,poids_kg,unite,prix,variation,source
2023,1,,2023-01-02,2023-01-08,TOULOUSE,Croises,Mâle,6/12,E,350,EUR/kg vif,3.5,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,TOULOUSE,Blond D'Aquitaine,Mâle,6/12,E,250,EUR/kg vif,4.6,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,TOULOUSE,Blond D'Aquitaine,Mâle,6/12,E,300,EUR/kg vif,4.2,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,TOULOUSE,Blond D'Aquitaine,Femelle,6/12,E,270,EUR/kg vif,4.1,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,TOULOUSE,Limousins,Mâle,6/12,U,250,EUR/kg vif,3.6,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,TOULOUSE,Limousins,Mâle,6/12,U,300,EUR/kg vif,3.55,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,TOULOUSE,Limousins,Mâle,6/12,U,350,EUR/kg vif,3.5,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,TOULOUSE,Limousins,Femelle,6/12,U,270,EUR/kg vif,3.05,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,TOULOUSE,Croises,Mâle,6/12,U,300,EUR/kg vif,3.4,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,TOULOUSE,Croises,Mâle,6/12,U,350,EUR/kg vif,3.3,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,TOULOUSE,Croises,Mâle,6/12,U,400,EUR/kg vif,3.25,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,TOULOUSE,Croises,Mâle,12/24,U,450,EUR/kg vif,3.15,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,TOULOUSE,Croises,Mâle,12/24,U,500,EUR/kg vif,3.1,,COT-VRO-GB_maigres-A23-S01.csv
